"","Industry","mean_salary_per_industry"
"1","Accounting & Auditing",1315.55319148936
"2","Agriculture",662.428571428571
"3","Agro Chemicals",1361.40298507463
"4","Ahmedabad",45
"5","Analytics & KPO",2201.94117647059
"6","Animation & VFX",779.125
"7","Architecture & Interior Design",871.258064516129
"8","Auto Components",1688.25
"9","Automobile",2713.16091954023
"10","Aviation",1534.725
"11","BPO",3913.52631578947
"12","Banking",11130.9569892473
"13","Beauty & Personal Care",901.428571428571
"14","Beverage",1650.04255319149
"15","Biotechnology",1738.79310344828
"16","Broadcasting",2779.25925925926
"17","Building Material",1757.56849315068
"18","Chemicals",1307.19277108434
"19","Clinical Research",2390.85
"20","Conglomerate",2100
"21","Consumer Electronics & Appliances",2837.27731092437
"22","Content Development",1536.2
"23","Defence & Aerospace",2162.58139534884
"24","Design",589
"25","EdTech",1708.36956521739
"26","Education & Training",702.317142857143
"27","Electrical Equipment",1372.25555555556
"28","Electronics Manufacturing",1505.90909090909
"29","Emerging Technologies",992
"30","Engineering & Construction",1476.8648111332
"31","Events",617
"32","FMCG",1873.91056910569
"33","Facility Management Services",1093.76
"34","Fashion & Textile",1092.28350515464
"35","FinTech",2491.66666666667
"36","Financial Services",2707.43344709898
"37","Fitness & Wellness",701.612903225806
"38","Food Processing",1123.2323943662
"39","Furniture & Furnishing",1145.90697674419
"40","Gaming",1494
"41","Government",814.372881355932
"42","Hardware & Networking",2474.59523809524
"43","Healthcare",1221.25787965616
"44","Hospitality",1504.55284552846
"45","IT Services & Consulting",5938.46343341032
"46","Import & Export",816.764705882353
"47","Industrial Automation",2722
"48","Industrial Machinery",1202.97142857143
"49","Insurance",4101.21052631579
"50","Internet",2835.66536964981
"51","Iron & Steel",1867.04347826087
"52","Jewellery",855.666666666667
"53","Law Enforcement & Security",1022.68292682927
"54","Leather",701.4
"55","Legal",2120.76923076923
"56","Logistics",1658.08
"57","Management Consulting",9039.66666666667
"58","Marketing & Advertising",1404.1724137931
"59","Media & Entertainment",1432.02380952381
"60","Medical Equipment",856.864406779661
"61","Metals & Mining",1055.84536082474
"62","NBFC",3274.13513513513
"63","Oil & Gas",1755.0625
"64","Other",1318.53125
"65","Packaging",1142.26086956522
"66","Petrochemicals",1204.05128205128
"67","Pharma",1957.47916666667
"68","Ports & Shipping",1149.26666666667
"69","Power",1342.20979020979
"70","Printing & Publishing",1061.28787878788
"71","Pulp & Paper",631.15
"72","Railways",1269.4
"73","Real Estate",1187.3125
"74","Recruitment",1227.97701149425
"75","Retail",2032.66049382716
"76","Semiconductors",1681.95454545455
"77","Software Product",2307.08661417323
"78","Sports & Recreation",638.75
"79","Startup",601
"80","Telecom",3365.496
"81","Travel & Tourism",751.083333333333
"82","Urban Transport",631.3125
"83","Waste Management",1020.9
"84",NA,971.481632653061
